parsed_date,year,month,day_of_week,hour,category
2001-01-23 04:08:00,2001,1,Tuesday,4,notification
2001-02-23 05:52:00,2001,2,Friday,5,work
2001-02-07 00:04:00,2001,2,Wednesday,0,work
2001-04-19 03:47:00,2001,4,Thursday,3,work
2001-05-08 13:05:00,2001,5,Tuesday,13,work
2000-12-20 08:25:00,2000,12,Wednesday,8,work
2001-05-01 02:43:00,2001,5,Tuesday,2,work
2001-02-14 06:07:00,2001,2,Wednesday,6,work
2001-04-02 01:45:00,2001,4,Monday,1,work
2001-02-27 02:45:00,2001,2,Tuesday,2,work
2001-01-16 00:22:00,2001,1,Tuesday,0,work
2001-01-12 02:43:00,2001,1,Friday,2,personal
2000-12-13 16:12:00,2000,12,Wednesday,16,work
2001-02-16 03:15:00,2001,2,Friday,3,work
2000-12-12 02:44:00,2000,12,Tuesday,2,work
2001-03-22 08:22:00,2001,3,Thursday,8,work
2001-03-05 08:51:00,2001,3,Monday,8,work
2000-11-26 13:29:00,2000,11,Sunday,13,work
2000-11-30 04:57:00,2000,11,Thursday,4,notification
2000-12-21 10:05:00,2000,12,Thursday,10,work
2000-12-20 05:45:00,2000,12,Wednesday,5,work
2001-01-29 06:44:00,2001,1,Monday,6,work
2001-04-18 17:05:00,2001,4,Wednesday,17,work
2001-02-12 08:21:00,2001,2,Monday,8,work
2001-02-13 15:28:00,2001,2,Tuesday,15,personal
2000-12-27 09:13:00,2000,12,Wednesday,9,work
2000-12-08 07:51:00,2000,12,Friday,7,work
2001-02-12 23:29:00,2001,2,Monday,23,work
2001-01-08 06:44:00,2001,1,Monday,6,work
2001-02-06 15:12:00,2001,2,Tuesday,15,work
2001-04-05 00:45:00,2001,4,Thursday,0,work
2000-11-28 03:05:00,2000,11,Tuesday,3,work
2001-02-06 09:38:00,2001,2,Tuesday,9,work
2001-02-26 00:47:00,2001,2,Monday,0,work
2001-02-07 14:01:00,2001,2,Wednesday,14,work
2000-12-20 05:24:00,2000,12,Wednesday,5,work
2001-04-27 05:55:00,2001,4,Friday,5,work
2001-02-01 05:29:00,2001,2,Thursday,5,work
2000-12-07 05:17:00,2000,12,Thursday,5,personal
2001-02-14 08:08:00,2001,2,Wednesday,8,work
2001-02-26 02:58:00,2001,2,Monday,2,work
2001-02-28 13:35:00,2001,2,Wednesday,13,work
2001-03-05 06:57:00,2001,3,Monday,6,work
2001-04-13 04:24:00,2001,4,Friday,4,work
2001-04-17 05:40:00,2001,4,Tuesday,5,work
2000-12-27 06:21:00,2000,12,Wednesday,6,notification
2000-12-13 01:33:00,2000,12,Wednesday,1,work
2000-11-28 07:07:00,2000,11,Tuesday,7,work
2001-02-28 05:08:00,2001,2,Wednesday,5,work
2001-01-17 01:55:00,2001,1,Wednesday,1,work
2001-04-17 05:21:00,2001,4,Tuesday,5,work
2001-02-14 04:54:00,2001,2,Wednesday,4,work
2001-04-16 22:05:00,2001,4,Monday,22,notification
2000-12-14 04:38:00,2000,12,Thursday,4,work
2001-02-21 09:52:00,2001,2,Wednesday,9,work
2000-11-30 05:20:00,2000,11,Thursday,5,work
2001-03-09 07:44:00,2001,3,Friday,7,work
2000-11-27 02:38:00,2000,11,Monday,2,work
2001-04-16 07:12:00,2001,4,Monday,7,work
2001-01-23 08:38:00,2001,1,Tuesday,8,work
2001-01-12 11:31:00,2001,1,Friday,11,work
2001-05-03 01:41:00,2001,5,Thursday,1,work
2001-02-12 07:54:00,2001,2,Monday,7,work
2000-12-12 08:51:00,2000,12,Tuesday,8,work
2000-12-16 09:57:00,2000,12,Saturday,9,spam
2001-01-10 00:29:00,2001,1,Wednesday,0,work
2001-01-09 08:45:00,2001,1,Tuesday,8,work
2000-11-28 02:20:00,2000,11,Tuesday,2,work
2000-11-26 23:35:00,2000,11,Sunday,23,work
2001-04-25 09:29:00,2001,4,Wednesday,9,work
2001-05-04 01:17:00,2001,5,Friday,1,work
2000-12-04 03:36:00,2000,12,Monday,3,work
2001-01-23 06:30:00,2001,1,Tuesday,6,work
2001-02-11 03:21:00,2001,2,Sunday,3,work
2001-02-13 23:57:00,2001,2,Tuesday,23,work
2001-02-06 04:19:00,2001,2,Tuesday,4,work
2001-03-01 01:20:00,2001,3,Thursday,1,work
2001-01-24 18:08:00,2001,1,Wednesday,18,work
2001-03-25 17:19:00,2001,3,Sunday,17,work
2001-04-16 10:04:00,2001,4,Monday,10,work
2001-01-23 06:59:00,2001,1,Tuesday,6,work
2000-12-20 08:25:00,2000,12,Wednesday,8,work
2001-01-31 06:07:00,2001,1,Wednesday,6,work
2001-04-17 04:30:00,2001,4,Tuesday,4,work
2001-01-29 07:27:00,2001,1,Monday,7,work
2001-03-13 04:48:00,2001,3,Tuesday,4,notification
2000-12-18 10:34:00,2000,12,Monday,10,work
2000-12-01 00:22:00,2000,12,Friday,0,work
2001-01-16 08:21:00,2001,1,Tuesday,8,work
2001-04-19 23:11:00,2001,4,Thursday,23,notification
2001-01-11 13:12:00,2001,1,Thursday,13,work
2001-04-11 04:40:00,2001,4,Wednesday,4,work
2001-03-13 07:20:00,2001,3,Tuesday,7,work
2000-11-30 08:10:00,2000,11,Thursday,8,work
2001-01-20 12:03:00,2001,1,Saturday,12,notification
2000-12-27 13:26:00,2000,12,Wednesday,13,work
2000-12-13 04:20:00,2000,12,Wednesday,4,work
2001-04-21 00:32:00,2001,4,Saturday,0,notification
2000-11-30 01:55:00,2000,11,Thursday,1,work
2001-02-06 06:17:00,2001,2,Tuesday,6,work
2000-12-12 02:46:00,2000,12,Tuesday,2,work
2000-12-21 03:11:00,2000,12,Thursday,3,work
2001-02-12 09:40:00,2001,2,Monday,9,work
2001-02-16 06:02:00,2001,2,Friday,6,work
2001-04-30 17:41:00,2001,4,Monday,17,work
2001-02-27 05:13:00,2001,2,Tuesday,5,work
2001-02-28 22:28:00,2001,2,Wednesday,22,work
2001-05-08 01:43:00,2001,5,Tuesday,1,work
2001-04-17 05:39:00,2001,4,Tuesday,5,notification
2001-02-12 23:07:00,2001,2,Monday,23,work
2001-02-19 03:34:00,2001,2,Monday,3,personal
2001-03-14 03:09:00,2001,3,Wednesday,3,work
2001-02-28 05:02:00,2001,2,Wednesday,5,notification
2001-03-16 12:57:00,2001,3,Friday,12,personal
2001-04-28 07:36:00,2001,4,Saturday,7,work
2001-01-26 10:17:00,2001,1,Friday,10,work
2000-12-16 11:26:00,2000,12,Saturday,11,personal
2000-12-27 01:55:00,2000,12,Wednesday,1,notification
2001-01-16 00:32:00,2001,1,Tuesday,0,work
2000-11-27 01:22:00,2000,11,Monday,1,work
2001-02-15 23:12:00,2001,2,Thursday,23,work
2001-04-22 05:43:00,2001,4,Sunday,5,work
2001-04-16 17:04:00,2001,4,Monday,17,work
2001-04-23 00:05:00,2001,4,Monday,0,work
2001-02-05 09:55:00,2001,2,Monday,9,work
2001-02-16 17:51:00,2001,2,Friday,17,work
2001-04-20 03:18:00,2001,4,Friday,3,work
2001-01-05 05:19:00,2001,1,Friday,5,work
2001-01-23 06:26:00,2001,1,Tuesday,6,work
2001-04-09 23:17:00,2001,4,Monday,23,work
2001-03-02 03:38:00,2001,3,Friday,3,work
2001-02-05 05:31:00,2001,2,Monday,5,work
2001-01-10 03:22:00,2001,1,Wednesday,3,work
2001-04-12 02:56:00,2001,4,Thursday,2,work
2001-04-17 21:56:00,2001,4,Tuesday,21,notification
2001-02-01 07:56:00,2001,2,Thursday,7,work
2000-11-28 09:02:00,2000,11,Tuesday,9,work
2001-02-06 09:49:00,2001,2,Tuesday,9,work
2001-03-01 05:52:00,2001,3,Thursday,5,work
2001-02-06 07:52:00,2001,2,Tuesday,7,work
2001-04-10 06:24:00,2001,4,Tuesday,6,work
2001-01-23 03:05:00,2001,1,Tuesday,3,work
2001-02-14 10:39:00,2001,2,Wednesday,10,work
2000-12-08 05:33:00,2000,12,Friday,5,work
2001-02-12 15:57:00,2001,2,Monday,15,work
2001-01-30 19:47:00,2001,1,Tuesday,19,work
2001-01-05 08:24:00,2001,1,Friday,8,work
2001-01-15 01:28:00,2001,1,Monday,1,work
2001-10-15 07:26:54,2001,10,Monday,7,work
2001-12-25 06:41:50,2001,12,Tuesday,6,work
2001-10-08 08:39:16,2001,10,Monday,8,personal
2001-10-22 22:36:06,2001,10,Monday,22,work
2001-10-08 09:00:30,2001,10,Monday,9,personal
2001-10-11 08:05:47,2001,10,Thursday,8,work
2001-10-25 22:19:25,2001,10,Thursday,22,work
2001-10-26 01:51:44,2001,10,Friday,1,spam
2001-10-16 05:14:04,2001,10,Tuesday,5,work
2001-12-23 05:25:05,2001,12,Sunday,5,work
2001-10-23 04:59:13,2001,10,Tuesday,4,work
2001-12-27 13:36:45,2001,12,Thursday,13,work
2001-12-28 13:05:59,2001,12,Friday,13,work
2001-12-27 06:49:29,2001,12,Thursday,6,work
2001-12-17 14:12:36,2001,12,Monday,14,work
2001-10-15 08:52:06,2001,10,Monday,8,work
2001-10-23 05:24:36,2001,10,Tuesday,5,work
2001-10-09 16:10:52,2001,10,Tuesday,16,personal
2001-10-15 07:20:12,2001,10,Monday,7,work
2001-11-12 07:55:13,2001,11,Monday,7,work
2001-12-31 12:12:19,2001,12,Monday,12,work
2001-12-31 07:58:12,2001,12,Monday,7,personal
2001-10-01 14:22:21,2001,10,Monday,14,work
2001-11-15 11:12:47,2001,11,Thursday,11,work
2001-10-11 10:55:02,2001,10,Thursday,10,work
2001-10-17 11:32:27,2001,10,Wednesday,11,work
2001-10-10 14:19:43,2001,10,Wednesday,14,work
2001-12-17 14:04:38,2001,12,Monday,14,work
2001-12-25 14:41:52,2001,12,Tuesday,14,spam
2001-10-25 21:43:45,2001,10,Thursday,21,work
2001-11-25 15:15:46,2001,11,Sunday,15,work
2002-01-01 06:34:59,2002,1,Tuesday,6,personal
2001-12-23 22:46:44,2001,12,Sunday,22,work
2001-10-24 14:36:04,2001,10,Wednesday,14,work
2001-10-25 09:32:39,2001,10,Thursday,9,work
2001-10-23 04:58:30,2001,10,Tuesday,4,work
2001-12-11 13:39:50,2001,12,Tuesday,13,work
2001-12-11 14:20:28,2001,12,Tuesday,14,notification
2001-10-22 14:20:50,2001,10,Monday,14,work
2001-10-15 11:47:17,2001,10,Monday,11,work
2001-12-27 02:02:25,2001,12,Thursday,2,work
2001-10-21 18:30:13,2001,10,Sunday,18,work
2001-10-29 04:18:20,2001,10,Monday,4,work
2001-12-26 10:41:58,2001,12,Wednesday,10,personal
2001-10-15 04:14:50,2001,10,Monday,4,work
2001-09-30 18:57:15,2001,9,Sunday,18,work
2001-10-08 10:04:03,2001,10,Monday,10,work
2001-10-21 11:38:19,2001,10,Sunday,11,work
2001-11-27 14:17:00,2001,11,Tuesday,14,work
2001-10-23 05:58:36,2001,10,Tuesday,5,personal
2001-11-26 14:10:04,2001,11,Monday,14,personal
2001-10-01 19:39:38,2001,10,Monday,19,work
2001-12-27 00:04:44,2001,12,Thursday,0,work
2001-09-27 17:53:03,2001,9,Thursday,17,work
2001-10-15 10:42:34,2001,10,Monday,10,work
2001-10-15 18:14:40,2001,10,Monday,18,personal
2001-10-24 10:56:47,2001,10,Wednesday,10,work
2001-10-01 10:35:56,2001,10,Monday,10,personal
2001-10-25 06:50:16,2001,10,Thursday,6,work
2001-12-26 05:41:25,2001,12,Wednesday,5,work
2001-12-22 22:49:43,2001,12,Saturday,22,work
2001-10-29 19:06:37,2001,10,Monday,19,work
2001-10-28 19:33:27,2001,10,Sunday,19,work
2001-10-23 04:59:35,2001,10,Tuesday,4,work
2001-10-23 09:07:53,2001,10,Tuesday,9,work
2001-10-10 20:53:38,2001,10,Wednesday,20,work
2001-12-31 22:17:32,2001,12,Monday,22,work
2001-10-26 08:12:47,2001,10,Friday,8,work
2001-10-05 07:50:58,2001,10,Friday,7,work
2001-10-03 11:53:15,2001,10,Wednesday,11,work
2001-10-22 14:25:17,2001,10,Monday,14,work
2001-10-25 10:10:02,2001,10,Thursday,10,work
2001-10-04 07:03:53,2001,10,Thursday,7,personal
2001-10-16 21:10:06,2001,10,Tuesday,21,work
2001-12-27 02:01:53,2001,12,Thursday,2,work
2001-10-29 05:05:18,2001,10,Monday,5,work
2001-10-08 15:51:12,2001,10,Monday,15,work
2001-09-30 11:34:49,2001,9,Sunday,11,work
2001-10-08 09:45:12,2001,10,Monday,9,work
2001-10-23 09:52:22,2001,10,Tuesday,9,work
2001-11-16 11:41:26,2001,11,Friday,11,notification
2001-10-09 11:21:00,2001,10,Tuesday,11,work
2001-10-26 04:59:57,2001,10,Friday,4,personal
2001-10-01 18:25:55,2001,10,Monday,18,personal
2001-09-30 10:18:03,2001,9,Sunday,10,work
2001-09-26 08:27:00,2001,9,Wednesday,8,work
2001-12-20 09:05:14,2001,12,Thursday,9,work
2001-12-28 11:55:33,2001,12,Friday,11,work
2001-12-31 11:25:03,2001,12,Monday,11,work
2001-10-22 20:10:58,2001,10,Monday,20,work
2001-10-24 13:50:19,2001,10,Wednesday,13,work
2001-10-29 05:03:06,2001,10,Monday,5,work
2001-09-26 18:29:55,2001,9,Wednesday,18,work
2001-10-15 09:40:56,2001,10,Monday,9,work
2001-10-23 05:02:08,2001,10,Tuesday,5,work
2001-12-30 22:13:32,2001,12,Sunday,22,work
2001-10-02 08:58:34,2001,10,Tuesday,8,work
2001-12-29 23:07:18,2001,12,Saturday,23,work
2001-10-24 07:43:10,2001,10,Wednesday,7,personal
2001-10-01 07:09:21,2001,10,Monday,7,work
2001-10-28 12:53:45,2001,10,Sunday,12,work
2001-12-23 06:59:54,2001,12,Sunday,6,work
2001-10-29 07:26:02,2001,10,Monday,7,work
2001-12-28 16:46:37,2001,12,Friday,16,spam
2001-10-11 20:10:29,2001,10,Thursday,20,work
2001-10-15 12:22:20,2001,10,Monday,12,work
2001-11-26 14:59:53,2001,11,Monday,14,work
2001-10-08 06:29:57,2001,10,Monday,6,personal
2001-10-25 04:22:59,2001,10,Thursday,4,work
2001-10-23 11:15:19,2001,10,Tuesday,11,work
2001-10-16 04:49:32,2001,10,Tuesday,4,work
2001-10-16 07:17:33,2001,10,Tuesday,7,work
2001-10-29 07:07:48,2001,10,Monday,7,work
2001-10-29 18:15:25,2001,10,Monday,18,personal
2001-11-02 13:28:57,2001,11,Friday,13,work
2001-11-27 09:11:04,2001,11,Tuesday,9,work
2001-10-26 05:43:50,2001,10,Friday,5,personal
2001-10-12 07:12:12,2001,10,Friday,7,work
2001-10-08 06:51:49,2001,10,Monday,6,personal
2001-10-02 14:36:34,2001,10,Tuesday,14,work
2001-10-09 06:11:26,2001,10,Tuesday,6,work
2001-09-10 11:33:08,2001,9,Monday,11,work
2001-10-23 08:27:03,2001,10,Tuesday,8,work
2001-10-11 12:01:59,2001,10,Thursday,12,work
2001-12-26 20:29:59,2001,12,Wednesday,20,work
2001-12-29 08:52:19,2001,12,Saturday,8,work
2001-10-12 05:21:17,2001,10,Friday,5,work
2001-10-23 07:30:17,2001,10,Tuesday,7,work
2001-10-09 15:45:19,2001,10,Tuesday,15,work
2001-12-30 18:44:00,2001,12,Sunday,18,personal
2001-10-10 20:56:21,2001,10,Wednesday,20,work
2001-12-28 09:04:54,2001,12,Friday,9,work
2001-12-20 02:02:25,2001,12,Thursday,2,work
2001-10-23 11:04:31,2001,10,Tuesday,11,work
2001-10-26 12:52:13,2001,10,Friday,12,personal
2001-10-15 09:43:01,2001,10,Monday,9,work
2001-10-15 18:23:43,2001,10,Monday,18,work
2001-12-27 08:30:44,2001,12,Thursday,8,work
2001-12-24 09:11:07,2001,12,Monday,9,work
2001-10-26 13:13:54,2001,10,Friday,13,work
2001-10-15 07:32:45,2001,10,Monday,7,work
2001-10-22 13:06:35,2001,10,Monday,13,work
2001-10-24 12:35:05,2001,10,Wednesday,12,work
2001-10-29 04:17:24,2001,10,Monday,4,work
2001-10-08 19:10:24,2001,10,Monday,19,work
2001-10-25 05:28:29,2001,10,Thursday,5,work
2001-10-23 05:02:15,2001,10,Tuesday,5,work
2001-10-04 10:53:26,2001,10,Thursday,10,notification
2001-10-01 10:27:57,2001,10,Monday,10,personal
2001-11-26 07:56:11,2001,11,Monday,7,personal
2001-09-27 10:04:18,2001,9,Thursday,10,work
2001-09-26 07:59:09,2001,9,Wednesday,7,work
2001-11-27 12:50:24,2001,11,Tuesday,12,work
2001-12-31 07:56:29,2001,12,Monday,7,work
2001-10-03 16:40:11,2001,10,Wednesday,16,work
2001-10-01 08:04:50,2001,10,Monday,8,work
2001-12-24 18:30:46,2001,12,Monday,18,personal
2001-09-26 15:07:21,2001,9,Wednesday,15,work
2001-12-24 23:21:02,2001,12,Monday,23,work
2001-11-24 10:05:55,2001,11,Saturday,10,work
2001-10-11 10:03:43,2001,10,Thursday,10,work
2001-10-22 20:28:01,2001,10,Monday,20,work
2001-10-15 09:45:37,2001,10,Monday,9,work
2001-10-29 14:57:16,2001,10,Monday,14,work
2001-10-01 11:11:15,2001,10,Monday,11,personal
2001-10-22 17:41:23,2001,10,Monday,17,personal
2001-12-29 19:13:56,2001,12,Saturday,19,work
2001-10-09 10:03:07,2001,10,Tuesday,10,work
2001-10-01 08:58:44,2001,10,Monday,8,work
2001-10-19 12:11:26,2001,10,Friday,12,notification
2001-10-12 12:44:40,2001,10,Friday,12,work
2001-12-27 11:12:53,2001,12,Thursday,11,work
2001-12-12 11:02:57,2001,12,Wednesday,11,work
2001-10-09 10:45:02,2001,10,Tuesday,10,work
2001-10-15 19:15:23,2001,10,Monday,19,work
2001-12-28 09:14:22,2001,12,Friday,9,work
2001-12-31 18:33:01,2001,12,Monday,18,personal
2001-10-09 10:51:58,2001,10,Tuesday,10,work
2001-10-29 04:28:08,2001,10,Monday,4,work
2001-10-08 10:49:27,2001,10,Monday,10,work
2001-12-11 10:44:08,2001,12,Tuesday,10,work
2001-10-25 07:29:05,2001,10,Thursday,7,work
2001-10-08 18:11:17,2001,10,Monday,18,personal
2001-12-27 15:37:33,2001,12,Thursday,15,work
2001-10-25 07:21:40,2001,10,Thursday,7,work
2001-10-15 08:05:39,2001,10,Monday,8,work
2001-10-01 11:20:43,2001,10,Monday,11,work
2001-10-25 21:54:55,2001,10,Thursday,21,work
2001-10-04 06:54:55,2001,10,Thursday,6,work
2001-10-09 21:03:50,2001,10,Tuesday,21,work
2001-10-15 11:47:17,2001,10,Monday,11,work
2001-11-26 07:19:41,2001,11,Monday,7,work
2001-11-15 05:06:53,2001,11,Thursday,5,work
2001-10-17 11:35:23,2001,10,Wednesday,11,work
2001-10-19 11:02:06,2001,10,Friday,11,work
2001-10-01 05:44:46,2001,10,Monday,5,work
2001-10-18 12:39:40,2001,10,Thursday,12,work
2001-10-01 10:41:24,2001,10,Monday,10,personal
2001-10-17 11:42:10,2001,10,Wednesday,11,work
2001-11-05 11:42:47,2001,11,Monday,11,work
2001-12-04 06:42:29,2001,12,Tuesday,6,work
2001-10-17 09:06:50,2001,10,Wednesday,9,work
2001-10-09 10:44:55,2001,10,Tuesday,10,work
2001-10-16 07:55:06,2001,10,Tuesday,7,work
2001-09-17 08:20:59,2001,9,Monday,8,work
2001-12-03 07:09:23,2001,12,Monday,7,work
2001-10-23 08:02:13,2001,10,Tuesday,8,personal
2001-12-03 12:38:29,2001,12,Monday,12,work
2001-10-24 07:30:24,2001,10,Wednesday,7,work
2001-10-01 10:52:12,2001,10,Monday,10,personal
2001-10-22 09:23:27,2001,10,Monday,9,work
2001-10-09 06:59:39,2001,10,Tuesday,6,work
2001-10-11 05:40:14,2001,10,Thursday,5,work
2001-10-26 11:03:48,2001,10,Friday,11,personal
2001-10-23 05:38:55,2001,10,Tuesday,5,work
2001-10-01 09:31:49,2001,10,Monday,9,personal
2001-10-08 05:24:19,2001,10,Monday,5,personal
2001-11-20 12:23:30,2001,11,Tuesday,12,work
2001-10-19 10:30:34,2001,10,Friday,10,work
2001-11-29 08:44:31,2001,11,Thursday,8,work
2001-10-16 12:09:02,2001,10,Tuesday,12,work
2001-12-04 07:50:09,2001,12,Tuesday,7,work
2001-10-25 05:28:26,2001,10,Thursday,5,personal
2001-10-08 06:45:10,2001,10,Monday,6,personal
2001-10-17 11:39:43,2001,10,Wednesday,11,work
2001-11-26 07:26:09,2001,11,Monday,7,work
2001-10-09 10:41:19,2001,10,Tuesday,10,personal
2001-10-25 05:24:30,2001,10,Thursday,5,work
2001-10-01 09:33:54,2001,10,Monday,9,work
2001-10-09 04:58:38,2001,10,Tuesday,4,work
2001-10-22 15:53:55,2001,10,Monday,15,work
2001-10-25 07:26:24,2001,10,Thursday,7,work
2001-11-01 06:34:27,2001,11,Thursday,6,work
2001-10-22 10:26:14,2001,10,Monday,10,work
2001-10-09 10:47:10,2001,10,Tuesday,10,work
2001-10-08 08:42:52,2001,10,Monday,8,personal
2001-12-07 05:27:18,2001,12,Friday,5,work
2001-10-25 07:16:41,2001,10,Thursday,7,work
2001-10-26 05:59:59,2001,10,Friday,5,work
2001-10-31 04:52:12,2001,10,Wednesday,4,personal
2001-10-03 11:58:18,2001,10,Wednesday,11,personal
2001-11-01 11:57:13,2001,11,Thursday,11,work
2001-10-31 11:26:03,2001,10,Wednesday,11,personal
2001-10-01 12:05:56,2001,10,Monday,12,personal
2001-11-15 06:31:59,2001,11,Thursday,6,work
2001-10-08 07:05:48,2001,10,Monday,7,personal
2001-10-19 11:21:08,2001,10,Friday,11,work
2001-10-22 05:38:50,2001,10,Monday,5,notification
2001-12-03 12:09:42,2001,12,Monday,12,work
2001-10-09 10:04:07,2001,10,Tuesday,10,work
2001-10-23 08:37:19,2001,10,Tuesday,8,personal
2001-10-09 10:58:23,2001,10,Tuesday,10,work
2001-10-01 09:33:04,2001,10,Monday,9,work
2001-11-13 11:50:36,2001,11,Tuesday,11,work
2001-10-08 09:10:44,2001,10,Monday,9,personal
2001-11-26 07:22:53,2001,11,Monday,7,personal
2001-10-26 05:03:28,2001,10,Friday,5,work
2001-12-04 05:30:41,2001,12,Tuesday,5,work
2001-10-30 11:51:43,2001,10,Tuesday,11,work
2001-12-14 06:41:41,2001,12,Friday,6,work
2001-10-24 07:47:13,2001,10,Wednesday,7,personal
2001-10-11 10:40:31,2001,10,Thursday,10,work
2001-10-11 09:39:21,2001,10,Thursday,9,work
2001-10-17 11:30:39,2001,10,Wednesday,11,work
2001-12-04 06:44:48,2001,12,Tuesday,6,work
2000-12-13 05:19:00,2000,12,Wednesday,5,work
2000-12-04 03:54:00,2000,12,Monday,3,personal
2000-12-05 08:27:00,2000,12,Tuesday,8,work
2000-12-05 02:16:00,2000,12,Tuesday,2,work
2000-12-27 07:27:00,2000,12,Wednesday,7,work
2000-12-05 07:38:00,2000,12,Tuesday,7,work
2001-02-20 16:15:00,2001,2,Tuesday,16,work
2000-11-29 03:57:00,2000,11,Wednesday,3,work
2000-11-28 05:45:00,2000,11,Tuesday,5,work
2000-12-13 02:02:00,2000,12,Wednesday,2,work
2001-03-23 00:55:00,2001,3,Friday,0,work
2000-12-27 01:33:00,2000,12,Wednesday,1,work
2000-12-05 07:49:00,2000,12,Tuesday,7,work
2000-11-30 01:35:00,2000,11,Thursday,1,work
2000-11-28 10:36:00,2000,11,Tuesday,10,work
2000-12-05 07:39:00,2000,12,Tuesday,7,work
2000-12-13 03:00:00,2000,12,Wednesday,3,work
2000-12-22 03:09:00,2000,12,Friday,3,work
2000-12-05 06:33:00,2000,12,Tuesday,6,work
2000-12-05 07:32:00,2000,12,Tuesday,7,work
2001-10-23 14:53:09,2001,10,Tuesday,14,spam
2001-11-20 17:11:07,2001,11,Tuesday,17,spam
2001-10-21 21:08:59,2001,10,Sunday,21,spam
2001-10-25 05:28:38,2001,10,Thursday,5,spam
2001-10-25 13:28:42,2001,10,Thursday,13,spam
2001-10-22 04:09:16,2001,10,Monday,4,spam
2001-10-23 04:09:20,2001,10,Tuesday,4,spam
2001-10-27 00:51:31,2001,10,Saturday,0,spam
2001-11-26 07:26:29,2001,11,Monday,7,spam
2001-11-09 15:34:55,2001,11,Friday,15,spam
2001-10-29 02:32:47,2001,10,Monday,2,spam
2001-10-24 07:47:27,2001,10,Wednesday,7,spam
2001-10-17 15:06:20,2001,10,Wednesday,15,spam
2001-11-14 06:36:11,2001,11,Wednesday,6,spam
2001-10-25 07:16:56,2001,10,Thursday,7,spam
2001-11-18 22:04:35,2001,11,Sunday,22,spam
2001-11-17 10:25:37,2001,11,Saturday,10,spam
2001-11-19 16:33:18,2001,11,Monday,16,spam
2001-11-19 02:04:18,2001,11,Monday,2,spam
2001-10-18 09:13:09,2001,10,Thursday,9,spam
2001-10-23 21:25:46,2001,10,Tuesday,21,spam
2001-11-26 06:40:50,2001,11,Monday,6,spam
2001-10-28 20:23:24,2001,10,Sunday,20,spam
2001-10-31 07:28:25,2001,10,Wednesday,7,spam
2001-11-25 21:42:48,2001,11,Sunday,21,spam
2001-10-25 08:21:54,2001,10,Thursday,8,spam
2001-10-22 15:11:23,2001,10,Monday,15,spam
2001-10-23 11:10:33,2001,10,Tuesday,11,spam
2001-11-21 22:27:02,2001,11,Wednesday,22,spam
2001-11-20 08:17:12,2001,11,Tuesday,8,spam
2001-11-13 08:57:28,2001,11,Tuesday,8,spam
